GHO,YEAR,REGION,COUNTRY,Numeric,Low,High
CHOLERA_0000000002,2016,AFR,BEN,13,,
CHOLERA_0000000002,2016,AFR,COD,759,,
CHOLERA_0000000002,2016,SEAR,MMR,11,,
CHOLERA_0000000002,2016,AFR,MOZ,2,,
CHOLERA_0000000002,2016,AMR,CAN,0,,
CHOLERA_0000000002,2016,AFR,MWI,46,,
CHOLERA_0000000002,2016,AFR,NER,6,,
CHOLERA_0000000002,2016,AFR,ZWE,1,,
CHOLERA_0000000002,2016,EMR,AFG,5,,
CHOLERA_0000000002,2016,AMR,DOM,27,,
CHOLERA_0000000002,2016,WPR,JPN,0,,
CHOLERA_0000000002,2016,AFR,NGA,32,,
CHOLERA_0000000002,2016,EMR,YEM,164,,
CHOLERA_0000000002,2016,WPR,AUS,0,,
CHOLERA_0000000002,2016,EUR,DEU,0,,
CHOLERA_0000000002,2016,SEAR,NPL,0,,
CHOLERA_0000000002,2016,AFR,UGA,11,,
CHOLERA_0000000002,2016,EMR,IRQ,0,,
CHOLERA_0000000002,2016,AFR,KEN,80,,
CHOLERA_0000000002,2016,EUR,NLD,0,,
CHOLERA_0000000002,2016,WPR,PHL,0,,
CHOLERA_0000000002,2016,EUR,GBR,0,,
CHOLERA_0000000002,2016,AMR,HTI,447,,
CHOLERA_0000000002,2016,EMR,IRQ,0,,
CHOLERA_0000000002,2016,AFR,RWA,0,,
CHOLERA_0000000002,2016,AFR,SSD,82,,
CHOLERA_0000000002,2016,WPR,KOR,0,,
CHOLERA_0000000002,2016,AFR,GHA,0,,
CHOLERA_0000000002,2016,SEAR,IND,3,,
CHOLERA_0000000002,2016,EMR,SOM,548,,
CHOLERA_0000000002,2016,SEAR,THA,1,,
CHOLERA_0000000002,2016,WPR,CHN,0,,
CHOLERA_0000000002,2016,AFR,AGO,3,,
CHOLERA_0000000002,2016,AFR,BDI,5,,
CHOLERA_0000000002,2016,AFR,COG,2,,
CHOLERA_0000000002,2016,EUR,DNK,0,,
CHOLERA_0000000002,2016,AFR,TZA,172,,
CHOLERA_0000000002,2016,AMR,USA,0,,
